Acute_Threat_Fear	
30555220	0.98742044
29515465	0.99798846
12390587	0.9994943
16281194	0.9695314
29329979	0.99667335
22542915	0.99998754
27774680	0.9999981
27348069	0.9998314
23169690	0.96893847
22626868	0.99821544
26048679	0.99262524
15337864	0.99987805
16563589	1
30708402	0.9994959
23869194	0.99993825
19201093	0.99999976
26319210	0.99763787
22592105	0.9940091
20797918	0.99998045
26210058	0.99998736
24813833	0.99999815
30379643	0.99999976
21626478	0.9902439
21733208	0.99728763
23922655	1
28390494	0.9999935
25530986	0.99982655
29779574	0.9984673
28838469	0.9999963
27634145	0.9988735
25448265	0.9999642
25811262	0.9967754
27280966	0.921641
24920956	0.9999945
26370206	0.9995674
29110718	0.9999629
27789871	0.9997987
17131301	0.8960606
16458356	0.9885655
17156152	0.4884425
21251795	0.9253679
26270268	0.99999285
24100470	0.99295247
19652680	0.9997081
27837570	0.9999933
26981581	0.98913
24813436	0.9993961
12600704	0.9999819
29576116	0.99702466
15664017	0.9999928
7916235	0.9999994
11115203	0.9947295
31000694	0.99999535
25012621	0.9999997
22585232	0.7418448
15853189	0.9999696
14518156	0.99081796
24899597	0.99873304
11778420	0.9999429
22282119	0.9999825
6424169	0.92028546
20947066	0.99019724
3449053	0.67434096
17284275	0.9945879
17620910	0.99999976
30947514	0.9999801
16555061	0.99881303
28393598	0.9999968
25592213	0.9998363
30284333	0.9961873
18555267	0.9999924
22508996	0.99445504
25047726	0.9996053
21996304	0.9797816
27775	0.988082
11430288	0.9691797
23340244	0.9694939
15282214	0.9876159
19493626	0.9999994
