Loss	
28454858	0.99879193
30248733	0.9981308
17149110	0.12473497
30587168	5.72E-06
26988765	0.40380707
28676467	8.94E-07
29603147	0.45564553
26685323	0.0040251
28323747	0.08200574
26490569	0.2440553
15589775	0.11026552
27010424	0.00030252
28990835	0.00962776
19030692	0.03888068
29529930	0.9678516
26946678	0.9996896
18595973	0.99999213
28190649	0.97162485
28478692	0.1719062
27810567	0.615782
30370826	0.30265564
23471505	0.98909515
27625085	0.99999905
21218348	0.88275254
28150383	0.0078204
30717703	0.02890596
29327220	0.00123695
30475459	0.6638725
10538005	0.7281204
29378448	0.999939
21886482	0.035335
23205237	0.00027174
19841949	0.8352189
30779290	0.1770106
27076502	0.00573245
30783313	0.99419814
24845781	4.36E-05
28856136	0.9999206
26440384	0.9982387
10661001	0.9991772
30046425	0.51501733
21649685	0.06026566
27539501	0.1432324
27031318	0.48484576
25892060	0.00056386
24918824	0.00032926
19893869	0.00367939
24064686	0.99963504
27919389	1.20E-05
24272197	0.9998297
19862680	0.99395144
22427954	0.00025737
22754284	0.9981332
22265225	2.26E-05
28220089	0.08056754
22083180	0.08111909
21522060	0.8094028
21986193	0.980041
27000795	0.00076517
24020426	0.08644927
17147098	8.20E-06
18831309	0.9984229
27199271	0.15669796
20077992	0.99525076
19425317	0
16569301	0.99999833
22226572	0.0407941
24072335	0.00032362
26600705	0.88013023
14695502	0.9997444
18431552	0.9926737
28869033	4.06E-05
17927921	0.99750084
23013843	0.00293148
27943570	0.00011024
18512998	0.4330437
20497281	0.00014782
24848262	0.7046846
18929341	0.8038162
17618467	0.00440285
19919550	0.00922516
11754134	0.96433914
26991024	0.09770954
28126098	0.7559399
22575329	0.99996436
18558909	0.00179815
18808300	0.00059858
18207694	0.02168408
19036534	0.99814487
18321028	0.02537209
17666380	0.95335907
23750563	0.05537066
21471305	1.07E-05
26247699	2.65E-05
31062863	0.32901126
23882377	0.22872809
8204711	1.13E-05
27891021	0.2646403
20535083	0.9968387
19635661	0.00101972
25186250	6.24E-05
24302820	0.01422557
21486707	0.6407623
24748992	0.17554185
20803202	0.0382033
22464284	0.99984425
28856721	0.99883866
27637486	0.34756055
18085072	0.9999843
22027080	0.12418464
20003516	0.00689068
19697245	0.17208767
22276999	0.81263936
17057049	0.00112277
22103803	0.00159678
18721640	0.904174
25643004	0.19744503
25356311	0.35400477
26905329	0.00539237
8419717	0.9979927
22316641	0.21591538
26598937	0.93862784
26026952	0.9145093
19647506	0.1258986
20063397	0.38295308
24164549	0.00044876
20220670	0.00073838
22683166	0.00083175
25006191	0.00577527
30958101	0.12137967
16600981	0.9865811
24973486	0.93808174
27896390	0.99997973
19968725	0.84306747
21933393	0.08734134
22396683	0.00146267
28297148	0.5092254
21073775	2.88E-07
