Arousal	
23457085	0.36853105
25012570	0.46455333
28166792	0.6494397
27322704	0.52301085
1574560	0.5325919
28013478	0.37579533
29563889	0.46671882
23519590	0.5387412
18410197	0.5377058
28912745	0.5447376
24955383	0.4193383
25926975	0.38603085
30776370	0.50450206
29867408	0.6032717
23524596	0.55776393
26151968	0.62237644
29367844	0.59998864
18981339	0.6853396
19837623	0.35558233
30209261	0.5118854
25481666	0.4993427
22575693	0.62387276
28914723	0.3840603
20943936	0.5012523
19515358	0.4694947
30358160	0.43024054
29293636	0.52319944
28806742	0.73220265
24109610	0.5511675
27853532	0.568574
19653774	0.554498
17683216	0.5596955
16712784	0.5272976
28390445	0.35238624
25318539	0.40263784
29486216	0.7064536
10784286	0.4502534
11321635	0.48173362
12820858	0.5484333
11190792	0.34373382
7436693	0.5300046
6683315	0.37882766
6746917	0.51309407
20461804	0.3162508
18436386	0.7895818
27065116	0.5260126
26888312	0.3151443
8476406	0.3836665
14596717	0.5565269
3405720	0.40970105
21241736	0.50074166
10576474	0.46083444
9565714	0.50588
24045586	0.57592094
14986839	0.67216516
3625594	0.50724775
8434658	0.42400262
15734365	0.47487667
24513877	0.6087815
17845113	0.42221165
9203109	0.39863437
17312321	0.46538022
20980710	0.5699393
2005271	0.6324462
2667692	0.45545116
21605608	0.3821876
20437296	0.5614266
7568642	0.53617156
22266925	0.63813967
21596060	0.6055025
3701577	0.46017724
2818172	0.40950137
2758296	0.51008445
20350859	0.55274624
15808286	0.7449524
11117499	0.56640697
17425528	0.49745467
8933608	0.37979358
20431711	0.47893828
11093070	0.5018212
7887876	0.5003943
3166599	0.524694
19014259	0.60032415
23244772	0.56991196
31073817	0.34767324
22396245	0.3442346
11826126	0.6035336
19879365	0.41395402
7843864	0.36511165
18494910	0.43749183
16262989	0.665394
24065901	0.46688026
11494959	0.45114803
12821203	0.74297965
23142369	0.46168816
20371374	0.58210236
25174692	0.36446875
9522593	0.59132797
22110588	0.57900953
16398603	0.27835363
2629011	0.46147576
11098410	0.67023575
2364752	0.45260563
11211069	0.40290058
31001176	0.62027067
21862136	0.784425
10903405	0.52290934
3344299	0.4399602
