Circadian_Rhythms	
26746320	0.2924286
27138767	0.4209648
28416676	0.72532904
27784643	0.5329312
28759269	0.44013
28625682	0.55440813
25214491	0.6427456
28465284	0.535266
27849618	0.62340105
27726448	0.58988607
28711776	0.6255673
29926582	0.27617264
26686899	0.2848698
26188089	0.62780696
28326910	0.47419202
29508358	0.44675514
24997189	0.61839247
27476975	0.5683106
26584570	0.6000961
25499101	0.5473022
30888851	0.56419617
30395149	0.49295706
28153924	0.49216905
29144214	0.39902878
27577611	0.65170777
22653890	0.7082852
23385698	0.7091079
25294583	0.4753865
29472844	0.5780414
27524206	0.6052315
27343471	0.578977
30832370	0.69689935
28851698	0.6522785
26144943	0.7384189
25726988	0.5354398
30324579	0.4183725
30532130	0.66678685
24760863	0.6115434
26113641	0.5733828
27997028	0.6490216
26414405	0.7636275
30615844	0.6315367
26714872	0.4124825
25652815	0.5715485
30227223	0.6247105
26020938	0.5308742
29589511	0.59440494
28525688	0.4760501
25453346	0.21262631
29933957	0.49269614
23575670	0.71228385
28585194	0.51124364
28424270	0.43140745
31059735	0.69368017
27252212	0.5568389
31035036	0.5764029
26600101	0.5929977
28920706	0.16545114
26529643	0.7065842
29405095	0.48782074
28779094	0.71669036
28030993	0.63438
25403440	0.624458
27256623	0.5316998
28318412	0.42049503
25208554	0.6178251
28973913	0.6977139
30363685	0.5155906
28817668	0.6638283
26120978	0.37031
30621462	0.29660675
27686062	0.5372421
29351091	0.47018397
25620199	0.6088564
31063912	0.55941916
27626074	0.6974885
26394143	0.73152953
28506462	0.54615515
27998755	0.5254859
28851928	0.6379539
28244020	0.51631314
25512305	0.6075508
29894760	0.41992444
25210113	0.46466327
24954773	0.6501118
25968901	0.26254892
27545669	0.5798386
28713080	0.3182991
26660098	0.6702031
28934261	0.58030117
24412370	0.48832256
25662277	0.73898196
27995565	0.68927836
28017879	0.49602735
30862458	0.51722395
28981604	0.7133777
27104378	0.5124358
30947602	0.6097178
24388969	0.5141186
30994461	0.19742703
28423243	0.5188923
29940798	0.709155
30744651	0.4698732
29778521	0.58450335
29378772	0.60942125
26841283	0.32840025
26970497	0.67612684
27155052	0.6136208
28440811	0.5842569
30301878	0.35842344
29807067	0.6253985
29673553	0.58073294
30663431	0.46119
30318979	0.39567506
30971327	0.6966548
26558932	0.5059057
28494142	0.15734887
30439372	0.31822896
29172879	0.66788435
30954762	0.4211137
28533170	0.63137615
26467286	0.6164233
30481281	0.59478545
