Frustrative_Nonreward	
20221302	0.6498311
30729634	0.37814695
28776834	0.59517366
30646329	0.13635913
28667677	0.4844661
27893244	0.44201103
28230907	0.6882305
21046605	0.5700268
28857270	0.34284562
30835866	0.46156812
25534757	0.43016556
23606625	0.6134387
29806562	0.52053523
29035692	0.55558586
26503759	0.34738117
24750046	0.47711354
28393381	0.5774115
25047301	0.49316642
26132685	0.31208098
21274855	0.5386157
24454423	0.20294967
24252744	0.43450025
26801482	0.3548137
16741683	0.54900295
30281153	0.2782407
28943676	0.5563885
30664416	0.33639514
22081237	0.54877114
30183479	0.48390868
29670316	0.358805
22331575	0.58936226
30411855	0.4314161
25047286	0.69279534
20924815	0.44017902
29195517	0.250953
28440068	0.35633242
28868757	0.40839973
23504600	0.62127405
27002969	0.47237775
26762376	0.5103289
20573107	0.5944683
21883301	0.4642228
20148303	0.500973
27655342	0.4538926
30945885	0.49896175
21701908	0.41972235
23386551	0.3733341
27586070	0.6155672
26168263	0.42761192
18506684	0.6425646
25441652	0.3486602
18837593	0.6086795
25037891	0.6644725
29551877	0.35351104
21815200	0.5361415
20624807	0.37558925
28441915	0.49270988
30892534	0.25275823
20012555	0.4383629
30930800	0.58676374
24410717	0.51464874
29797798	0.42313442
23262830	0.36378485
24850766	0.3127065
30949882	0.5310636
28095002	0.4644101
18540799	0.5251306
26891018	0.54698884
30560404	0.55065763
19903269	0.3015848
24684716	0.3555776
29435947	0.3143996
18605842	0.5436059
28402839	0.46976942
19130362	0.51873994
23922720	0.41335928
21686034	0.27571234
20698028	0.4499293
25431522	0.6056866
31035210	0.604479
25337430	0.48859772
27859182	0.48575526
21251934	0.5955997
28923255	0.49106768
18523685	0.63314533
30741941	0.5094008
20529198	0.31118876
25568459	0.5508375
19220626	0.31219542
26414097	0.6377802
24475181	0.44254974
17241490	0.5844129
30620784	0.37373406
27019027	0.21811476
21994828	0.58318275
28395529	0.4030652
22028205	0.67187595
19899842	0.4242108
29519553	0.5281432
19083377	0.6010029
21274856	0.4600833
21046606	0.27566093
19292848	0.3325706
24788255	0.465078
30275306	0.25529945
27245759	0.3183174
18174829	0.55532193
30515840	0.5030499
22917202	0.44645137
27171103	0.17138633
21537896	0.58286005
30995349	0.35926968
25208191	0.6045172
31025234	0.56111336
23163637	0.42049628
24662690	0.39226416
21666876	0.4448057
24691403	0.49954876
24341618	0.5202374
21530979	0.4225133
22898873	0.3190354
24934013	0.39403158
26300968	0.3328296
23754265	0.41168714
29196899	0.37794188
26580659	0.5236444
23658752	0.2239277
20013045	0.4000168
23909644	0.3443874
28138201	0.34783626
18767042	0.5187102
28530437	0.4941494
20614370	0.48250833
30932183	0.5345695
28635021	0.4628883
21299275	0.4466819
31084410	0.5250275
30511052	0.27070278
17598804	0.434008
19589597	0.3493666
17635260	0.4954083
23977113	0.6149056
21963609	0.49758035
24549721	0.474628
