Potential_Threat_Anxiety	
24282148	0.58988404
29781628	0.58252
29397080	0.8035908
24131552	0.41434783
28867935	0.5373568
25134736	0.5898882
25777789	0.7019674
26459841	0.73954487
25179230	0.31856406
30054732	0.7610238
28814894	0.614827
27551023	0.2200023
26332665	0.6440877
27659553	0.6314856
27196537	0.6335057
27277950	0.77414924
25444169	0.83319676
27167217	0.7711137
19188539	0.83890843
29672111	0.6627361
28733210	0.75407493
18695520	0.5360546
28274659	0.70266896
29210194	0.8376821
25711937	0.54143375
27318217	0.80978304
26547015	0.78603244
26969581	0.85227406
21972425	0.65566057
26726817	0.7322047
25281030	0.592881
30112670	0.6924404
21056591	0.73373544
28910121	0.7466321
30384149	0.78050756
21619900	0.78355336
27440250	0.34392506
30219564	0.8102922
30326246	0.794691
30667260	0.6449372
25664956	0.7037772
24863147	0.5536353
26232750	0.07925102
27271859	0.75669456
21349242	0.5111467
26874188	0.5109573
26408036	0.594537
18294612	0.42132634
24773231	0.43945432
30718320	0.63520086
30590285	0.7549761
22088795	0.70936394
30863879	0.73472244
23459454	0.5328069
26651008	0.65097046
24095880	0.80875087
29709209	0.374646
25981173	0.65415263
23140175	0.62313116
20236791	0.40407678
26163715	0.5632474
26424424	0.5950441
20950644	0.643451
27129732	0.5465781
29883709	0.7599218
18022310	0.700953
21355660	0.6082253
30661553	0.39363372
26631147	0.5684493
18208937	0.9398922
26708107	0.72765356
27462211	0.6605375
28787685	0.7469582
24782804	0.7390695
29086243	0.0990434
22412135	0.25350225
26442769	0.43217486
22103578	0.3940737
29057552	0.76935
31001846	0.5800224
30649926	0.71169806
30428152	0.79299146
30683681	0.7874441
23333155	0.5534455
29332026	0.28696215
23148783	0.60497546
25548107	0.6389397
25039035	0.7195646
27819443	0.8384509
29550689	0.7223837
28268274	0.4944004
25326039	0.63308454
22129663	0.76068544
29615092	0.0123592
30699438	0.55413103
26226604	0.37975866
19853712	0.8277345
30953446	0.89263725
30618968	0.8812065
15869362	0.5994767
30408271	0.7163966
25961638	0.8243676
20727909	0.57309127
29867370	0.6813302
30051155	0.4871642
26678871	0.9290921
23783199	0.5703126
30289497	0.74412704
21487723	0.30312318
16110279	0.6915816
20811944	0.57520694
26206076	0.4527172
18752726	0.70690924
22512994	0.23827705
15865920	0.23344466
27797550	0.429935
23620193	0.49207926
19117552	0.79744565
23750133	0.7598226
20727910	0.66951245
21928153	0.4894998
26030449	0.5180346
30375085	0.492072
28950918	0.731362
28867938	0.7087372
26774515	0.58183897
20723575	0.5860518
28268256	0.4701689
11801300	0.45624197
24995682	0.73144245
24103196	0.36063293
26284366	0.5766043
25503890	0.34171265
30573408	0.6013572
26105138	0.7673328
29258631	0.20509917
30773638	0.48496196
26476635	0.7490922
21918000	0.696402
