Sleep_Wakefulness	
9821976	0.73567384
11236695	0.47158825
14722706	0.57952976
17652994	0.49868163
28489018	0.44776207
10691108	0.61968833
16297476	0.7770053
9639274	0.7133764
20711757	0.7661487
14564893	0.53576064
15313041	0.69410145
29804297	0.87953913
24930893	0.87313926
10459680	0.56789964
28642284	0.9157529
29220862	0.6781595
15680193	0.6153201
29654707	0.8695755
11382912	0.6040416
15541420	0.5129859
26119352	0.81456846
15828428	0.5625538
30935682	0.81134987
15139033	0.71890247
8550132	0.5408548
8122256	0.61810577
3125374	0.698932
3247018	0.5455513
3705977	0.54021907
9164546	0.5584858
6716286	0.584329
19646496	0.6850368
4088380	0.6835818
7158034	0.58035076
19003977	0.55623585
166711	0.4676868
2804326	0.62042856
9035530	0.65913904
6721913	0.65158105
2869168	0.61753577
822856	0.6643562
15527748	0.7197945
19118591	0.69249034
3013378	0.52332747
12700105	0.6931174
31041277	0.24036857
19729003	0.75676364
3200415	0.6569884
19014076	0.3276402
19801739	0.72869545
19995590	0.7356563
15773329	0.55074275
166716	0.66040957
10202759	0.7144989
1618653	0.70070267
10459664	0.6253654
17461022	0.67417914
2012981	0.6764442
1332801	0.609463
20063783	0.6137605
1523277	0.66039246
22674352	0.3383392
7215813	0.5428724
11566148	0.75422436
12162531	0.56108785
7395195	0.51439893
9503827	0.5238074
1910566	0.7266445
3356265	0.5927875
6661621	0.738881
17976600	0.7741641
21786643	0.53951293
10375707	0.5399514
22828639	0.66181386
6140665	0.5453294
24635644	0.77516085
8202058	0.7404157
23997373	0.8455124
6828153	0.685701
2439293	0.57506466
7652596	0.52556473
9844853	0.5921073
2323715	0.65675306
18234409	0.79542875
6263409	0.6319566
12637592	0.5067587
2062895	0.57271576
7878113	0.53789794
29309677	0.74878395
7814075	0.5513251
7953774	0.6698793
30988168	0.8194649
3350096	0.73734295
9147403	0.5795201
3575471	0.6812539
19604806	0.57108474
6479381	0.7301217
2696458	0.5106067
2054228	0.75208056
4047331	0.6453558
7832296	0.7195634
837222	0.7125819
18795255	0.27232796
7957024	0.54116374
18809531	0.33453977
25915066	0.71051264
18407254	0.8265083
12852211	0.59324265
6198143	0.6202393
3200413	0.5900695
6083632	0.68946064
18318174	0.47124928
9035524	0.5521958
20105243	0.79531735
6514063	0.7443884
1648245	0.7016266
18977258	0.75514185
9424194	0.5497108
7327461	0.59919715
16533567	0.74531126
1396274	0.5458668
2516324	0.68140656
