,pmid,abstract,predictions
0,24132226,"Finally, melatonin synergizes with oxytocin to promote delivery of the fetus.",0.45838743
1,24132226,Melatonin is a multifaceted molecule with direct free radical scavenging and indirect antioxidant activities.,0.44876727
20,24942699,"While clock components are widely conserved, circadian phenomena display diversity even within the Lemna genus.",0.4532445
21,24942699,Recent studies revealed evolutionary conservation of clock components in green plants.,0.43865132
32,24971530,Disordered circadian rhythms are associated with various psychiatric conditions and metabolic diseases.,0.41727468
33,24971530,"Importantly, the circadian expression of hepatic clock genes was completely unaffected in CSD mice.",0.41197209999999995
41,26004319,Whether temperature also affects the immune rhythm of animals still remains unclear.,0.43785974
42,26004319,The results present here collectively indicated that temperature cycles entrained circadian rhythm of some immune parameters and shaped crayfish resistance to bacteria.,0.43344954
51,26253214,One way to explore mechanisms is to utilize animal models.,0.4650146
52,26253214,Activity rhythms were enhanced by the running wheels.,0.43087327
62,27168152,"To explore the mechanisms involved, we inhibited LPS-stimulated NO and superoxide.",0.43940178
63,27168152,These results suggest that pro-inflammatory stimuli can disrupt circadian rhythms in macrophages and that impaired circadian rhythms may contribute to cardiovascular diseases by altering macrophage behavior.,0.43539318
75,27506697,Participants were asked to perform a 24-hour urine collection.,0.41525829999999997
76,27506697,"MATERIALS AND METHODS: This prospective observational study was done at Ghent University Hospital, Belgium.",0.40205824
86,27568094,Microglia-the innate immune cell of the central nervous system-possess endogenous timekeeping mechanisms that regulate immune responses.,0.48101994
87,27568094,"Overall, these results indicate that aging dysregulates circadian regulation of neuroinflammatory functions.",0.45327280000000003
95,27736193,We investigated the hypothesis that there is no circadian rhythm in QT interval in the absence of KChIP2.,0.43458006
96,27736193,No ventricular arrhythmias or sudden cardiac deaths were observed.,0.43070972
108,28286126,"Moreover, whether circadian rhythms of particular motivated behaviors exist is unknown.",0.45632446
109,28286126,"Finally, daily rhythms of sucrose intake and preference were abolished in Per2(Brdm1)- and double Per1(-/-)Per2(Brdm1)-mutant animals.",0.3842969
116,28321642,Circadian dysregulation may provide vulnerability to BSD onset.,0.47427398
117,28321642,Growing research supports an integrative reward/circadian model.,0.45733386
124,28823816,Circadian rhythms are biorhythms with a 24-hour period that are regulated by molecular clocks.,0.3975163
125,28823816,"In addition, perturbation of the cardiac clock by the use of several compounds including Resveratrol and Ex-527 was found to result in loss of functional rhythmicity.",0.33489954
129,28910551,We found that the R1 inmates were exposed to lower amounts of light during waking time and higher amounts during sleeping time.,0.3804592
130,28910551,"In addition, the sleep of R1 inmates suffered higher disturbances as a consequence of the different policy for nocturnal diapers check and change.",0.375952
135,28984167,"Here, we tested the hypothesis that there is task-related plasticity in circadian rhythms of antennal responsiveness to odorants in worker honeybees.",0.45557020000000004
136,28984167,The insect antennae receive olfactory information from the environment.,0.44408864
148,29065948,"This review will explore the present data in the field of circadian rhythms, ageing and metabolism.",0.41253713
149,29065948,"Recently, we have shown that well-being can be achieved by resetting of the circadian clock and induction of robust catabolic circadian rhythms via timed feeding.",0.38197494
155,29161859,"[J. J. Tyson, C. I. Hong, C. D. Thron, B. Novak, Biophys.",0.4861175999999999
156,29161859,J.,0.4861175999999999
169,29204752,"These cellular circadian clocks compose a multicellular circadian system working at respective levels of tissue, organ, plant body.",0.44923168
170,29204752,This imaging technique quantitatively revealed heterogeneous and independent manners of cellular clock behaviors.,0.43848336
180,29660304,Melatonin could prevent isoflurane-induced cognitive impairments by circadian rhythm resynchronization.,0.46323302
181,29660304,Advanced age is a significant independent risk factor for POCD.,0.43178922
192,29702105,This study can be considered as a reference to the comparative animal physiology among rodents.,0.40888596
193,29702105,"The Mexican volcano mouse Neotomodon alstoni, is endemic of the Transverse Neovolcanic Ridge in central Mexico.",0.4047374
198,29843180,Chronobiological therapy is based on these disturbed processes.,0.43820935
199,29843180,The successful treatment of depression also frequently leads to a improvement in altered circadian rhythm.,0.41920593
204,29953265,aging or low physical activity (PA).,0.44359967
205,29953265,The desynchronization of a 24-h rhythm in a chronic manner has been recently defined chronodisruption or circadian disruption.,0.42477077
216,29966532,This observational cross-sectional study aimed to: 1.,0.5028282000000001
217,29966532,Analyze the principal characteristic of the different onset time groups 3.,0.43579346
234,29971599,We review here the relationship between DST and cardiovascular health.,0.45027290000000003
235,29971599,"Possible mechanisms include sleep deprivation, circadian misalignment and environmental conditions.",0.42636508
240,30080328,"However, circadian rhythms of the antioxidant enzymes (AOE) activities were inherent only adult rats when light deprivation impacted on pregnant females (group DD/DD).",0.37883562
241,30080328,We studied the age-related features of circadian rhythms of superoxide dismutase (SOD) and catalase activity in the liver of rats under light deprivation.,0.371755
248,30176735,A sinusoidal smoothing function was used to show the average circadian trends.,0.42622715
249,30176735,There was a significant association between time of symptom onset and the circadian cycle.,0.40781328
257,30290235,BACKGROUND: The poor prognostic of Bipolar disorders (BD) is closely linked to deaths by suicide.,0.4101309
258,30290235,"CONCLUSIONS: Woman gender, vigorous circadian type, insomnia and an earlier daily activity appeared independently associated with SA in BD.",0.4077972
269,30516584,"However, translation of this knowledge into humans remains incomplete.",0.44136274
270,30516584,"Pleiotropy, epistasis and nongenetic factors may play important roles in regulating circadian rhythms, some of which may underlie circadian rhythm disturbances in BD.",0.41379732
