,pmid,abstract,predictions
0,18645756,Evidence for discriminant validity of the observations of aggression subtypes was found.,0.47979972
1,18645756,"Multiple informants and methods (i.e., observational, teacher reports) were used.",0.46638167
6,19822329,"In particular, reactive but not proactive relational aggression was uniquely associated with history of abuse, hostile attribution biases, and feelings of distress regarding relational provocation situations.",0.49473533
7,19822329,The psychometric properties of a recently introduced adult self-report of relational aggression are presented.,0.48254633
16,21688275,"Furthermore, the effects of network characteristics (i.e., reciprocity and transitivity), gender, and social status on friendship selection were examined.",0.48953858
17,21688275,"Moreover, a peer influence effect was only found for relational aggression, and not for physical aggression.",0.45527792
24,21833240,We investigate the degree that popular trade books and movies accurately portray findings from researched investigations including the incidence and indicators of the condition and its remedies.,0.46359049999999996
25,21833240,"We compare findings from empirical research into relational aggression with the depictions, interpretations and interventions described in trade-books and popular media dealing with that same topic.",0.45206186
30,22477278,Findings are discussed in the context of Chinese culture.,0.46808788
31,22477278,"Fourth and fifth grade children in Taiwan (n = 739, age 9-11) were followed across 1 year.",0.4641674
35,22665946,Boys and girls had different growth parameters of RAgg.,0.45183766
36,22665946,"This study examined gender differences in the level and developmental course of relational aggression in middle childhood, as well as early predictors and outcomes of relational aggression, after controlling for concurrent physical aggression.",0.44355896
42,23831139,"Children were randomly assigned to watch a clip containing physical aggression, relational aggression, or no aggression.",0.46050742
43,23831139,The findings are discussed in terms of the general aggression model and children's social information processing.,0.4525915
48,23880393,Loneliness mediated the direct association between relational aggression and peer victimization.,0.49074918
49,23880393,Our path analysis model suggested evidence for both direct and indirect pathways consistent with the sequential social process model of peer harassment.,0.46019617
54,24156310,This longitudinal study identifies possible developmental pathways by which relational aggression and future social psychological adjustment may be linked.,0.48094904
55,24156310,Bootstrapping mediation analyses were conducted.,0.47594696
60,24888340,"Participants' parent (83% mothers) reported on family income, conflict strategies, and maternal authoritarian and permissive parenting styles.",0.48327366
61,24888340,Teachers rated children's social and physical aggression yearly in grades 3-12.,0.47584888
71,24893884,Data for this study were collected from the RELATE assessment.,0.50057346
72,24893884,Implications were discussed.,0.4854965
78,25047290,"However, this finding was qualified by both emotional sensitivity and gender.",0.47000512
79,25047290,"Relational aggression and victimization were assessed via peer nominations, whereas the three indicators of emotional sensitivity were assessed via self-report.",0.46396786
87,25047295,No moderation effect was found.,0.49272755
88,25047295,"In contrast, rumination moderated the association between relational aggression and depressive symptoms.",0.48386732
99,25047296,"However, processes that may explain this association are not well understood.",0.47206673
100,25047296,"Despite some similarities between psychological control and relational aggression, confirmatory factor analyses provided evidence that the two sibling processes are distinct.",0.44796807
106,25059795,Aggression and peer status were measured using peer nomination procedures.,0.48625806
107,25059795,Social competence bias was operationally defined as the residual difference between child and teacher ratings of the child's social competence.,0.4861942
117,25132727,"Conversations were coded for maternal elaboration, emotion references, and discussion of norm violations.",0.4825522
