,pmid,abstract,predictions
0,15294391,This study investigated whether attentional processes contribute to fear-potentiated startle.,0.49943766
1,15294391,This may reflect a more sustained state of anxiety on which cue-specific fear responses are superimposed.,0.47169024
9,15837118,"The extracellular signal-regulated kinase1/2 (ERK1/2) pathway has a key role in cell survival and brain plasticity, processes that are impaired following exposure to stressful situations.",0.41076140000000005
10,15837118,"We have recently validated two repeated intermittent stress procedures in male NMRI mice, social threat and repeated exposure to a novel cage, which result in clear behavioral effects following 4 weeks of application.",0.4073437
16,17554005,The goal of this study was to compare cerebral blood flow (CBF) changes associated with phasic cued fear versus those associated with sustained contextual anxiety.,0.44080377
17,17554005,This study showed distinct neuronal networks involved in cued fear and contextual anxiety underlying the importance of this distinction for studies on the pathophysiology of anxiety disorders.,0.42472994
22,17582673,Results may have implications for understanding automatic and voluntary attentional biases related to anxiety.,0.45037335
23,17582673,"To examine this hypothesis, attention performance was measured in three domains--alerting, orienting, and executive attention.",0.43515235
31,17683209,A parallel line of research has determined that threatening stimuli more readily capture attention.,0.42723409999999995
32,17683209,These findings indicate that the meaning of threat can be conveyed rapidly with minimal stimulus detail.,0.41847128
37,18472088,"However, under conditions of sustained environmental threat this otherwise-present attention bias disappears.",0.45423505
38,18472088,Anxious individuals show an attention bias towards threatening information.,0.43577114
46,19693004,"In rats, sustained fear is more sensitive to anxiolytic drugs.",0.44813243
47,19693004,"Thus, anxiety is a more long-lasting state of apprehension (sustained fear).",0.44736090000000006
56,20727909,The prevalent view is that the larger the animal groups the lower the individual vigilance.,0.43144816
57,20727909,"Vigilance is a reflection of anxiety, and here we show that anxiety is contagious in grouped social animals.",0.42949843
63,20883506,"However, direct evidence is still missing.",0.45034188
64,20883506,The threat detection advantage was replicated in the behavioral results.,0.4311813
70,21075229,"In this study, we investigated the brain mechanism involved in this process.",0.5003844
71,21075229,INTRODUCTION: Reducing fear when a threat has disappeared protects against a continuously elevated anxiety state.,0.41740814
79,21111828,Research in rodents suggests that anatomically related but distinct neural circuits may mediate phasic and sustained fear.,0.44976099999999997
80,21111828,Aversive events are typically more debilitating when they occur unpredictably than predictably.,0.44102508
89,21242990,"In this study, we used a prospective design to investigate the consequences of severe stress in soldiers before and after deployment to a combat zone.",0.4312184
90,21242990,We found that combat stress increased amygdala and insula reactivity to biologically salient stimuli across the group of combat-exposed individuals.,0.4219876
96,21440905,Participants showed fear-potentiated startle to the threat cue in the P condition.,0.46004125
97,21440905,Short-duration cues were presented several times in each condition.,0.41845
107,21666261,We examined whether amygdala responses to rapidly presented fear expressions are preferentially tuned to averted vs direct gaze fear and conversely whether responses to more sustained presentations are preferentially tuned to direct vs averted gaze fear.,0.43542695
108,21666261,"Together, these studies provide evidence consistent with an early, reflexive amygdala response tuned to clear threat and a later reflective response tuned to ambiguous threat.",0.36592895
110,22250290,"Furthermore, ventromedial prefrontal recruitment was lower in individuals with higher scores on intolerance of uncertainty measures, and this hyporecruitment predicted greater transient amygdala responding to potential threat cues.",0.42326036
111,22250290,States of lesser anxiety were associated with greater sustained activity in the ventromedial prefrontal cortex.,0.41581005
117,22390706,"SAD patients showed a sustained threat bias, though it was smaller than in healthy controls.",0.43366414
118,22390706,An extensive body of research has demonstrated that anxious individuals abnormally process threat-related content.,0.42638909999999997
128,22913418,"The threat cues elicited increased electrodermal activity and a sustained decrease in heart rate, consistent with defensive vigilance.",0.43865246
129,22913418,These effects were not explained by changes in latency.,0.4196321
134,24095880,"Subsequently, subjects underwent functional magnetic resonance imaging while completing the avoidance task.",0.44419527
135,24095880,Evidence from both nonhuman neurophysiological and human neuroimaging studies suggests a distributed frontal-limbic-striatal brain network supports avoidance.,0.41130063
143,24886788,We examined intrinsic functional connectivity.,0.4912835
144,24886788,RESULTS: Our study involved 20 healthy participants.,0.4756401
158,25062842,Threatening stimuli have been shown to preferentially capture attention using a range of tasks and measures.,0.43260637
159,25062842,These results have implications for the study of attention to threat in both unselected and anxious populations.,0.39543495
166,25143607,"Together, our study unraveled a progression of responses and network-level changes due to sustained threat.",0.4447927
167,25143607,Entering a state of anxious anticipation triggers widespread changes across large-scale networks in the brain.,0.420779
175,25761115,Fear-potentiated acoustic startle paradigms have been used to investigate phasic and sustained components of conditioned fear in rats and humans.,0.41871145
176,25761115,"An auditory Pavlovian fear conditioning paradigm, with pseudo-randomized conditioned-unconditioned stimulus presentations at various durations, is combined with repetitive brief auditory white noise burst presentations during fear memory retrieval 24 h after fear conditioning.",0.40120396
180,26601909,This enhanced performance was paralleled by heightened activity of frontoparietal and frontostriatal circuitry.,0.4415082
181,26601909,Cognitive control performance was enhanced during the excited state relative to a nonarousing control condition.,0.40147015
190,26810702,Thirty participants performed a picture-viewing task in which cues indicated the subsequent picture valence.,0.4337043
