,pmid,abstract,predictions
0,16891566,We then apply the emotion regulation framework toward understanding other perturbed affective states in PTSD.,0.47223613
1,16891566,In this article we propose a psychobiological model that construes PTSD fundamentally as a disorder of affect arousal regulation.,0.4324754
4,18346833,MV emerges as the most reliable respiratory index of self-perceived arousal.,0.46490175
5,18346833,EtCO2 covaried with pleasantness but not arousal.,0.46201473
14,19100525,These results were found for both positively- and negatively-valenced affective states.,0.3548283
15,19100525,The present work investigated the effects of participant emotional state on global versus local memory for map-based information.,0.35180476
20,20424047,Results indicated that low-motivation negative affect caused attentional broadening.,0.39043236
21,20424047,Positive and negative affects high in motivational intensity cause a narrowing of attentional focus.,0.38459045
27,22148994,"Hypothesizing that genetic factors partially govern sensitivity to interpersonal cues, we examined whether a polymorphism (5-HTTLPR) in the serotonin transporter gene would moderate spouses' sensitivity to positive and negative partner affect.",0.43437907
28,22148994,These data support the contention that the serotonin system influences affective responses to social stimuli.,0.40872124
32,22562463,Individual affect-related performance zones (IAPZs) method utilizing Kamata et al.,0.43453306
33,22562463,"To do so, three male golfers of a varsity golf team were observed during three rounds of golf competition.",0.41759765
40,23646134,"Interestingly, individuals with low-HRV showed less differentiation in ASR between affective states.",0.39556729999999996
41,23646134,"Furthermore, resting HRV was associated with affect-modulated characteristics of ASR, but not with SCR or HR.",0.39245504
47,23896304,"Depression-related general distress symptoms (e.g., sadness, worthlessness) predicted greater abstinence-induced increases in acute depressed affect only (betas .24-.25).",0.46395907
48,23896304,CONCLUSION: Different components of anxiety and depressive symptoms are associated with unique affective patterns of acute tobacco withdrawal.,0.41180018
57,24835467,"This framework implies quantifiable and testable inferences about affect from fMRI data, which may ultimately inform predictions about approach and avoidance behavior.",0.43856663
58,24835467,"Here, we suggest that the spatial and temporal resolution of functional magnetic resonance imaging (fMRI) data could support inferences about affective states.",0.42554513
62,25556211,Neuroimaging results are consistent with behavioral findings.,0.47208184
63,25556211,"In combination, they indicate both additive and interactive influences of trait and state affect on top-down control of attention.",0.387623
70,25701720,"At each alert, a short questionnaire was filled in, asking questions about passage of present time, affective state, arousal level, and attention to current activities, among others.",0.42589079999999996
71,25701720,"Many people accept the idea that time seems to pass more quickly as they get older, as if this is a psychological reality.",0.32310498
76,25773637,"Producing and perceiving music engage a wide range of sensorimotor, cognitive, and emotional processes.",0.39353898
77,25773637,"However, besides joy or sadness, music often elicits feelings of wonder, nostalgia, or tenderness, which do not correspond to emotion categories typically studied in neuroscience and whose neural substrates remain largely unknown.",0.33413285
83,26214569,"No study, however, has directly tested this hypothesis.",0.4247858
84,26214569,"Previous findings indirectly suggest that the more people perceive their time in life as limited, the more they value calm.",0.36575684
90,26751631,We conducted 3 studies to examine whether leaders' smiles reflect these cultural differences in ideal affect.,0.4261167
91,26751631,"Together, these findings suggest that leaders' smiles reflect the affective states valued by their cultures.",0.4085297
100,26876723,The neural correlates of human emotions are easy to harvest.,0.4249307
101,26876723,"The implications of this knowledge for development of new psychiatric interventions, especially depression, are discussed.",0.41101378
106,26884121,"We used infrared thermography, a non-invasive method, to assess physiological arousal during open field and elevated plus maze tests in mice.",0.40669054
107,26884121,"Due to their direct inaccessibility, affective states are classically assessed by gathering concomitant physiological and behavioral measures.",0.3842987
114,28463060,These results demonstrate key differences in audiovisual integration between valence and arousal.,0.4140805
115,28463060,Experiment 2 included a parallel combination of three levels of arousal while holding valence constant.,0.40817264
125,28604043,(PsycINFO Database Record,0.4387585
126,28604043,No study has investigated how executive control processes involved in perspective shifting relate to emotional empathy.,0.4248817
138,28611707,Differences also appeared for all other measured dimensions.,0.44920522
139,28611707,The ANPST is the first Polish language list of sentence stimuli and could easily be adapted for other languages and cultures.,0.37027714
147,28986700,when subjects were alone versus in company of others without direct social interaction or feedback.,0.425386
148,28986700,This difference might be explained by a shift of attention in the presence of others.,0.41424376
155,29321533,Embodied theories of emotion assume that emotional processing is grounded in bodily and affective processes.,0.36739033
156,29321533,"Critically, participants were tested in two conditions: with experimentally induced high heart rate (Exercise) and with normal heart rate (Normal).",0.3160722
162,29939058,"(PsycINFO Database Record (c) 2019 APA, all rights reserved).",0.4182843
163,29939058,"Prior research has indicated that ideal affect (i.e., the affective states that people value and would ideally like to experience) may be relevant to mental health outcomes.",0.32751507
169,30448351,Sonographic assessment confirmed bladder-filling status.,0.46270153
170,30448351,The aim of the current study was to investigate if startle methodology is suitable to reflect urinary urgency.,0.41841320000000004
178,30684514,We measured responses during recovery from stress and during reactivity to threat and anger.,0.42242646
179,30684514,Positive affect has been related to faster cardiovascular recovery from stress.,0.38528029999999996
186,30718450,These findings may have implications for the therapeutic efficacy of DBS.,0.4103585
187,30718450,"Affective states underlie daily decision-making and pathological behaviours relevant to obsessive-compulsive disorders (OCD), mood disorders and addictions.",0.3499552
196,30848050,SIGNIFICANCE: These results extend previous findings about common representational coding between the experience of first-hand and others' pain.,0.4220666
197,30848050,"Here we investigated whether representations of first-hand pain and disgust influenced the subsequent evaluation of facial expressions in Modality-specific fashion, or in terms of Unpleasantness or arousal.",0.36277719999999997
