,pmid,abstract,predictions
0,16111764,Bracha et al.,0.45157716
1,16111764,"We hypothesize that these perplexing pseudoneurological stress-triggered symptoms, which constitute psychopathology in extant humans, are traceable to allele-variant polymorphisms which spread during the Neolithic EEA.",0.41557652
10,16298490,The aims of this study were threefold.,0.4629116
11,16298490,"In contrast, the no-threat condition displayed a stronger bias towards sensory pain words.",0.45036238
26,17259206,Our data suggest that acute oral citalopram increases the processing of anxiety-related stimuli in healthy volunteers.,0.40411046
27,17259206,"Participants then completed a series of tasks assessing emotional aspects of attention (visual-probe task), perception (categorization of facial affect), memory (emotional memory task) and reactivity to threat (emotion potentiated startle).",0.3867967
35,17445017,RESULTS: There were 254 incidents of aggression recorded.,0.42925334
36,17445017,The fear that results from working in a climate of potential danger can also have a damaging impact on patient care.,0.3722269
46,19782055,"This review summarizes current data on how KOR systems contribute to the acute (rapid), delayed, and cumulative molecular and behavioral effects of stress.",0.43977829999999996
47,19782055,Stress is most often associated with aversive states.,0.42557290000000003
55,21122818,We found that alcohol significantly reduced amygdala reactivity to threat signals.,0.44492380000000004
56,21122818,"We used functional magnetic resonance imaging and a validated task to probe amygdala responses to social signals of threat in 12 healthy, social drinkers after a double-blind crossover administration of alcohol or placebo.",0.39843994
61,21277566,CONCLUSIONS: These results suggest that hydrocortisone administration in humans selectively increases anxiety but not fear.,0.47124276
62,21277566,"RESULTS: Hydrocortisone affected neither baseline nor short-duration, fear-potentiated startle but increased long-duration anxiety-potentiated startle.",0.46327397
74,22362395,OBJECTIVE: Many studies have shown that 5-HTTLPR genotype interacts with exposure to stress in conferring risk for psychopathology.,0.42399899999999996
75,22362395,This may be one mechanism underlying the risk for psychopathology conferred by the S allele upon exposure to life stressors.,0.39733005
82,22390711,Results showed that contextual threat caused subjects to avert attention from danger cues.,0.45535496
83,22390711,Factors leading humans to shift attention away from danger cues remain poorly understood.,0.44217524
92,25365751,Fear is a psychological construct inherent in assessment of and reaction to threat.,0.44195306
93,25365751,"Defining and subsequently assessing these individual differences in fear as a trait-like variable, however, have been largely neglected by researchers.",0.38068917
99,26613707,"Predictors included illness beliefs, fear/threat at the time of the cardiac event, threat reappraisal over time and social support.",0.44348509999999997
100,26613707,This study identified predictors of anxiety and depression in patients with acute coronary syndrome.,0.4404429
106,26877119,"Panic attacks are considered as abrupt and intense fear responses to acute threat arising from inside the body, while anxious apprehension refers to anxiety responses to potential harm and more distant or uncertain threat.",0.39356607
107,26877119,This component of the defensive reactivity was related to genetic modulators within the serotonergic system.,0.39170626
113,26877132,"Focusing on one key RDoC construct, acute threat or fear, the current article illustrates a construct-oriented psychoneurometric strategy for operationalizing this construct in individual difference terms-as threat sensitivity (THT+).",0.4338565
114,26877132,"Results illustrate how the psychoneurometric approach can be used to create a dimensional index of a biobehavioral trait construct, in this case THT+, which can serve as a bridge between phenomena in domains of psychopathology and neurobiology.",0.37681842
119,26991018,These findings are consistent with a role for the medial hypothalamus in encoding an internal emotional state of fear.,0.3626092
120,26991018,"In particular, the dorsomedial part of the ventromedial hypothalamus (VHMdm) is critical for the expression of defensive responses to predators.",0.33729747
125,27576271,The technique provides a novel and objective measure of threat response for mental health researchers.,0.38219637
126,27576271,IMU measurements detected expected differences in child motion by threat phase.,0.3703754
135,27981438,This effect was absent following a fear cue.,0.43862504
136,27981438,Our findings suggest that state anxiety's influence to visual working memory can be strongly modulated by external signals to threat.,0.41576487
145,28025095,Deficits in fear extinction learning are hypothesized to underlie the development of posttraumatic stress disorder (PTSD).,0.4434701
146,28025095,"Together, findings indicate that FKBP5 confers risk for fear extinction deficits.",0.43635103
155,28117048,CONCLUSIONS: Findings point to neural signatures of risk for maintaining PTSD symptoms after trauma exposure.,0.44132513
156,28117048,We investigated reactivity of the amygdala and cortical areas to repeated threat presentations in a prospective study of PTSD.,0.42804712
168,28599071,Post-traumatic stress disorder (PTSD) is characterized by memory disturbances following trauma.,0.44729158
169,28599071,"In a follow-up behavioral experiment, post-training exposure to TMT did not affect spatial water maze performance of male rats.",0.38097709999999996
