27197727,Role of worry in patients with chronic tinnitus and sensorineural hearing loss: a preliminary study.,"Tinnitus-related distress appears to be more strongly associated with multiple psychological factors than with any perceptual properties of tinnitus. Prior studies have not investigated the role of worry in tinnitus sufferers. Worry is a dispositional cognitive trait that involves a pervasive, non-specific, future-oriented proneness to fretting, which can foster negative affective states and catastrophic thinking about a specific trouble when the trouble is actual and present. We examined the relationship between worry and self-perceived anxiety and depressive symptoms and handicap in 54 outpatients with chronic tinnitus and sensorineural hearing loss who had been previously recruited for a randomized double-blind study on the efficacy of transmeatal low-level laser therapy for tinnitus. We measured the current anxiety and depressive symptoms with the State-Trait Anxiety Inventory Form Y-1/Self-evaluation Depression Scale, the handicap with the Tinnitus Handicap Inventory, and the proneness to worry with the Penn State Worry Questionnaire. For the psychoacoustic tinnitus measures, we considered the loudness match and the minimum masking level. We found that tinnitus-related anxiety and depressive symptoms and handicap were significantly associated with proneness to worry (linear regression models, p < 0.01), whereas no associations were found with the psychoacoustic measures. This suggests the usefulness of worry assessment when managing chronic tinnitus in clinical practice. Early therapeutic interventions for reducing proneness to worry may facilitate better adaptation to tinnitus.","{'We measured the current anxiety and depressive symptoms with the State-Trait Anxiety Inventory Form Y-1/Self-evaluation Depression Scale, the handicap with the Tinnitus Handicap Inventory, and the proneness to worry with the Penn State Worry Questionnaire.', 'Worry is a dispositional cognitive trait that involves a pervasive, non-specific, future-oriented proneness to fretting, which can foster negative affective states and catastrophic thinking about a specific trouble when the trouble is actual and present.', 'We examined the relationship between worry and self-perceived anxiety and depressive symptoms and handicap in 54 outpatients with chronic tinnitus and sensorineural hearing loss who had been previously recruited for a randomized double-blind study on the efficacy of transmeatal low-level laser therapy for tinnitus.'}"
12238739,The effect of loss and trauma on substance use behavior in individuals seeking support services after the 1995 Oklahoma City bombing.,"In this study, we examined the effect of trauma exposure on substance use behaviors, specifically tobacco and alcohol use, in a group of 84 individuals who sought supportive services after the 1995 Oklahoma City bombing. A self-report instrument was used to assess demographics, sensory exposure, injury, interpersonal exposure through relationship with victims, peritraumatic reaction, grief, posttraumatic stress, worry about safety, functional impairment, and changes in smoking and drinking. Those who reported increased smoking had higher scores on peritraumatic reaction, grief, posttraumatic stress, worry about safety, and trouble functioning. Those who reported increased alcohol intake had higher scores on injury, peritraumatic reaction, grief, posttraumatic stress, worry about safety, and trouble functioning. Sensory exposure and interpersonal exposure were not significantly different between those with and without increased smoking or drinking. Although no causal relationship can be assumed, our findings indicate an association of grief and posttraumatic stress with increased substance use behaviors in disaster victims.","{'In this study, we examined the effect of trauma exposure on substance use behaviors, specifically tobacco and alcohol use, in a group of 84 individuals who sought supportive services after the 1995 Oklahoma City bombing.', 'Those who reported increased alcohol intake had higher scores on injury, peritraumatic reaction, grief, posttraumatic stress, worry about safety, and trouble functioning.', 'Although no causal relationship can be assumed, our findings indicate an association of grief and posttraumatic stress with increased substance use behaviors in disaster victims.', 'Those who reported increased smoking had higher scores on peritraumatic reaction, grief, posttraumatic stress, worry about safety, and trouble functioning.'}"
20455126,Intolerance of uncertainty and emotional distress following the death of a loved one.,"Research has shown that intolerance of uncertainty (IU) - the tendency to react negatively to situations that are uncertain - is involved in worry and generalized anxiety disorder, as well as in other anxiety symptoms and disorders. To our knowledge, no studies have yet examined the association between IU and emotional distress connected with the death of a loved one. Yet, it seems plausible that those who have more difficulties to tolerate the uncertainties that often times occur following such a loss experience more intense distress. The current study examined this assumption, using self-reported data from 134 bereaved individuals. Findings showed that IU was positively and significantly correlated with symptom levels of complicated grief and posttraumatic stress disorder (PTSD), even when controlling for time since loss (the single demographic/loss-related variable associated with symptom levels), and for neuroticism and worry, which are both correlates of IU. Furthermore, IU was specifically related with worry and symptom levels of PTSD, but not complicated grief, when controlling the shared variance between worry, complicated grief severity, and PTSD-severity. The present findings complement prior research that has shown that IU is a cognitive vulnerability factor for worry, and indicate that it may also be involved in emotional distress following loss.","{'Findings showed that IU was positively and significantly correlated with symptom levels of complicated grief and posttraumatic stress disorder (PTSD), even when controlling for time since loss (the single demographic/loss-related variable associated with symptom levels), and for neuroticism and worry, which are both correlates of IU.', 'Yet, it seems plausible that those who have more difficulties to tolerate the uncertainties that often times occur following such a loss experience more intense distress.', 'To our knowledge, no studies have yet examined the association between IU and emotional distress connected with the death of a loved one.'}"
30694221,Investigation of the Experiences of Mothers Living Through Prenatal Loss Incidents: A Qualitative Study.,"BACKGROUND: Fetal death causes women to experience negative feelings after the loss. These lived experiences influence the future pregnancies and maternal health of women negatively. PURPOSE: The aim of this study was to investigate the experiences of women whose pregnancies were terminated because of medical indications. METHODS: A ""design for definitive status study"" type of qualitative research design was used. Ten women who were hospitalized between April and July 2017 at the Akdeniz University Clinic of Obstetrics and Gynecology and had subsequently experienced pregnancy loss during their hospitalization were enrolled as participants. Thematic analysis was used to analyze the data. RESULTS: The pregnancy loss experiences of participants were investigated under the five main themes of (a) lived experiences before the termination of pregnancy, (b) lived experiences after pregnancy termination, (c) willingness to see the baby after termination, (d) posttermination care requirements, and (e) physical condition of hospital rooms during hospitalization. The participants expressed feelings of hope, fear, and worry over being unsuccessful before fetal death and feelings of loneliness, disappointment, blame, and avoidance after fetal death. CONCLUSIONS/IMPLICATIONS FOR PRACTICE: In the aftermath of fetal death, health professionals should use insightful and empathic communication skills to help mothers cope with their loss. In addition, some of the participants wanted to see their babies, and some did not. Thus, individualized care is very important for women who experience pregnancy loss.","{'BACKGROUND: Fetal death causes women to experience negative feelings after the loss.', 'The participants expressed feelings of hope, fear, and worry over being unsuccessful before fetal death and feelings of loneliness, disappointment, blame, and avoidance after fetal death.', 'Ten women who were hospitalized between April and July 2017 at the Akdeniz University Clinic of Obstetrics and Gynecology and had subsequently experienced pregnancy loss during their hospitalization were enrolled as participants.', 'RESULTS: The pregnancy loss experiences of participants were investigated under the five main themes of (a) lived experiences before the termination of pregnancy, (b) lived experiences after pregnancy termination, (c) willingness to see the baby after termination, (d) posttermination care requirements, and (e) physical condition of hospital rooms during hospitalization.'}"
24843744,Weight loss on a structured hypocaloric diet with or without exercise improves emotional distress and quality of life in overweight and obese patients with type 2 diabetes.,"AIMS/INTRODUCTION: To evaluate the effects of a caloric restricted weight loss program with or without supervised resistance exercise training (EX) on diabetes-related emotional distress and quality of life (QOL) in overweight and obese patients with type 2 diabetes. MATERIALS AND METHODS: In a parallel design, 106 men and women with type 2 diabetes were randomized to a prescriptive 16-week caloric restricted diet (D; 6,000-7,000 kJ/day), with (n = 65) or without (n = 41) EX (three times per week). Bodyweight, glycated hemoglobin, diabetes-specific emotional distress (Problem Areas in Diabetes [PAID] questionnaire) and QOL (Diabetes-39 [D-39] questionnaire) was assessed pre- and post-intervention. RESULTS: A total of 84 participants completed the study (D n = 33, D + EX n = 51). Weight loss was significantly greater in D + EX compared with D (-11.4 +/- 5.8 vs -8.8 +/- 5.8 kg, P = 0.04 time x diet). Overall, there were significant improvements in glycated hemoglobin, PAID total score and the D-39 dimensions of 'diabetes control', 'anxiety and worry', 'sexual functioning', 'energy and mobility', 'overall rating of QOL' and 'severity of diabetes' (P </= 0.01 for time). The D-39 dimension, 'social burden', did not change (P = 0.07 for time). There was no difference between groups in the response for any of these variables (P >/= 0.10). CONCLUSION: A structured caloric restricted diet with or without EX improves emotional distress and QOL in overweight and obese patients with type 2 diabetes. This trial was registered with Australian New Zealand Clinical Trials Registry (http://www.anzctr.org.au; ACTR No: ACTRN12608000206325).",{'CONCLUSION: A structured caloric restricted diet with or without EX improves emotional distress and QOL in overweight and obese patients with type 2 diabetes.'}
30173702,A Case Study on the Effectiveness of Cognitive and Behavioural Approaches for Diabetic Patient with Cardiac Disease.,"Diabetes Mellitus is a non-infectious disease that is caused by insulin resistance. Current case provides a detailed account of a 45-year female diagnosed with diabetes and coronary heart disease having complaints of pain in her joints, sadness and worry, unable to control anger, loss of interest in previous pleasurable activities, reduced interaction with others, and difficulty falling asleep. After assessment, patient was diagnosed with 293.83 (F06.31) depression due to diabetes and coronary heart disease, with depressive features and V61.03 (Z63.5) disruption of family by separation or divorce. Cognitive and behavioural approach was used for treatment, which significantly reduced complaints of patient.","{'Current case provides a detailed account of a 45-year female diagnosed with diabetes and coronary heart disease having complaints of pain in her joints, sadness and worry, unable to control anger, loss of interest in previous pleasurable activities, reduced interaction with others, and difficulty falling asleep.'}"
9850002,Otitis media and child development: should we worry?,"Persistent middle ear effusion in infancy and early childhood has been blamed for impairments of speech, language, cognition and psychosocial development later in life. Whether that blame is justified remains unresolved and a matter of controversy, because studies of the relationships involved have been limited and often contradictory and because none was designed so as to address the issue of causality. At issue in particular is the common practice of subjecting infants and young children with persistent otitis media with effusion (OME) to tympanostomy tube placement specifically to reduce the risk of developmental impairment. Currently children younger than age 3 years undergo an estimated 313000 tympanostomy tube placement operations per year, at a cost of about $750 million. If a causal association between early life OME and later developmental impairment were to be established, answers would also be needed to the questions whether the adverse effects of OME are linear or threshold, whether they are permanent or transient and whether they are preventable by timely tube placement. A prospective study designed to address all of these questions is currently under way at Children's Hospital of Pittsburgh. The study involves enrolling a large, demographically diverse sample of normal infants before 2 months of age; monitoring them for the presence or absence of otitis media throughout the first 3 years of life; identifying those in whom OME has persisted for specified minimum periods; randomly assigning those subjects either to prompt tube placement or to delayed tube placement if OME persists; and administering a battery of standardized developmental tests to those subjects and to a sample of the others at ages 3, 4 and 6 years. Details of the study design and procedures are described in this report.","{'The study involves enrolling a large, demographically diverse sample of normal infants before 2 months of age; monitoring them for the presence or absence of otitis media throughout the first 3 years of life; identifying those in whom OME has persisted for specified minimum periods; randomly assigning those subjects either to prompt tube placement or to delayed tube placement if OME persists; and administering a battery of standardized developmental tests to those subjects and to a sample of the others at ages 3, 4 and 6 years.', 'Persistent middle ear effusion in infancy and early childhood has been blamed for impairments of speech, language, cognition and psychosocial development later in life.'}"
24275670,"Chocolate cake. Guilt or celebration? Associations with healthy eating attitudes, perceived behavioural control, intentions and weight-loss.","Food and eating are often associated with ambivalent feelings: pleasure and enjoyment, but also worry and guilt. Guilt has the potential to motivate behaviour change, but may also lead to feelings of helplessness and loss of control. This study firstly examined whether a default association of either 'guilt' or 'celebration' with a prototypical forbidden food item (chocolate cake) was related to differences in attitudes, perceived behavioural control, and intentions in relation to healthy eating, and secondly whether the default association was related to weight change over an 18month period (and short term weight-loss in a subsample of participants with a weight-loss goal). This study did not find any evidence for adaptive or motivational properties of guilt. Participants associating chocolate cake with guilt did not report more positive attitudes or stronger intentions to eat healthy than did those associating chocolate cake with celebration. Instead, they reported lower levels of perceived behavioural control over eating and were less successful at maintaining their weight over an 18month period. Participants with a weight-loss goal who associated chocolate cake with guilt were less successful at losing weight over a 3month period compared to those associating chocolate cake with celebration.","{'Instead, they reported lower levels of perceived behavioural control over eating and were less successful at maintaining their weight over an 18month period.', ""This study firstly examined whether a default association of either 'guilt' or 'celebration' with a prototypical forbidden food item (chocolate cake) was related to differences in attitudes, perceived behavioural control, and intentions in relation to healthy eating, and secondly whether the default association was related to weight change over an 18month period (and short term weight-loss in a subsample of participants with a weight-loss goal)."", 'Guilt has the potential to motivate behaviour change, but may also lead to feelings of helplessness and loss of control.'}"
28981834,Disrupting Sleep: The Effects of Sleep Loss on Psychotic Experiences Tested in an Experimental Study With Mediation Analysis.,"Our view is that insomnia may be a causal factor in the occurrence of psychotic experiences such as paranoia and hallucinations. However, the causal relationship is not established. The aim of the study was to investigate the causal role of insomnia in psychotic experiences via a sleep restriction manipulation. The study was a within-subjects crossover design that included a planned mediation analysis. Sixty-eight nonclinical volunteers underwent a sleep loss condition (restricted to 4 h sleep for 3 nights) and a control condition (standard sleep) in randomized order in 2 consecutive weeks, with a weekend washout period. Psychotic experiences (paranoia, hallucinations, grandiosity, and cognitive disorganization) and candidate mediating variables (negative affect and related processes, working memory, decision making, and perceptual processing) were assessed before and after each condition. Actigraphy verified an average sleep duration of 5 h 15 min in the sleep loss condition, vs 6 h 58 min in the control condition. After the sleep loss condition, relative to the control condition, participants reported significant increases in paranoia, hallucinations, and cognitive disorganization, with no significant changes in grandiosity. The sleep loss condition was also associated with significant increases in negative affect, negative self and other cognitions, worry, and working memory impairment. Mediation analyses indicated that changes in psychotic experiences were mediated by changes in negative affect and related processes, but not memory impairment. The overall conclusion is that insomnia has a causal role in the occurrence of certain psychotic experiences, and that a key route is via negative affect.","{'The aim of the study was to investigate the causal role of insomnia in psychotic experiences via a sleep restriction manipulation.', 'The sleep loss condition was also associated with significant increases in negative affect, negative self and other cognitions, worry, and working memory impairment.'}"
30076574,Experiences of Community Violence Among Adults with Chronic Conditions: Qualitative Findings from Chicago.,"BACKGROUND: Community violence is an important social determinant of health in many high-poverty, urban communities. OBJECTIVE: The purpose of this study was to explore and characterize self-described experiences of community violence among adults with chronic health conditions. DESIGN: Qualitative study design was implemented in 2017 using in-depth, semi-structured focus groups and interviews; data were collected from two clinical sites located in geographic epicenters of high violent crime in Chicago. PARTICIPANTS: Adult patients, ages 35 years and older, who had at least one chronic condition. APPROACH: Data were analyzed using grounded theory and the constant comparison method. KEY RESULTS: The overall sample (N = 51) was predominantly female (67%) and black non-Hispanic (75%); a large proportion had hypertension (65%), arthritis (55%), obesity (53%), and/or diabetes (45%). The majority reported that a close friend or family member was seriously injured or killed due to community violence (71%); a similar proportion had never discussed their experiences of community violence with a healthcare provider (73%). Several major themes emerged: (1) perceived risk of being targeted, (2) chronic stress and worry, (3) hypervigilance, (4) social breakdown, (5) chronic isolation, (6) constrained choice (loss of freedom), (7) limited access to material resources, and (8) inadequate healthcare responses. CONCLUSIONS: Patients often struggled to balance the challenges imposed by community violence with the demands of living with and managing their chronic conditions. Emergent themes may inform practical targets for addressing community violence as a social determinant of health in vulnerable populations.","{'Several major themes emerged: (1) perceived risk of being targeted, (2) chronic stress and worry, (3) hypervigilance, (4) social breakdown, (5) chronic isolation, (6) constrained choice (loss of freedom), (7) limited access to material resources, and (8) inadequate healthcare responses.', 'CONCLUSIONS: Patients often struggled to balance the challenges imposed by community violence with the demands of living with and managing their chronic conditions.', 'The majority reported that a close friend or family member was seriously injured or killed due to community violence (71%); a similar proportion had never discussed their experiences of community violence with a healthcare provider (73%).'}"
