"27576271","Movements Indicate Threat Response Phases in Children at Risk for Anxiety.","Temporal phases of threat response, including potential threat (anxiety), acute threat (startle, fear), and post-threat response modulation, have been identified as the underlying markers of anxiety disorders. Objective measures of response during these phases may help identify children at risk for anxiety; however, the complexity of current assessment techniques prevent their adoption in many research and clinical contexts. We propose an alternative technology, an inertial measurement unit (IMU), that enables noninvasive measurement of the movements associated with threat response, and test its ability to detect threat response phases in young children at a heightened risk for developing anxiety. We quantified the motion of 18 children (3-7 years old) during an anxiety-/fear-provoking behavioral task using an IMU. Specifically, measurements from a single IMU secured to the child's waist were used to extract root-mean-square acceleration and angular velocity in the horizontal and vertical directions, and tilt and yaw range of motion during each threat response phase. IMU measurements detected expected differences in child motion by threat phase. Additionally, potential threat motion was positively correlated to familial anxiety risk, startle range of motion was positively correlated with child internalizing symptoms, and response modulation motion was negatively correlated to familial anxiety risk. Results suggest differential theory-driven threat response phases and support previous literature connecting maternal child risk to anxiety with behavioral measures using more feasible objective methods. This is the first study demonstrating the utility of an IMU for characterizing the motion of young children to mark the phases of threat response modulation. The technique provides a novel and objective measure of threat response for mental health researchers.","{'Objective measures of response during these phases may help identify children at risk for anxiety; however, the complexity of current assessment techniques prevent their adoption in many research and clinical contexts.', 'We propose an alternative technology, an inertial measurement unit (IMU), that enables noninvasive measurement of the movements associated with threat response, and test its ability to detect threat response phases in young children at a heightened risk for developing anxiety.'}"
"28206795","Maternal anxiety predicts attentional bias towards threat in infancy.","Although cognitive theories of psychopathology suggest that attention bias toward threat plays a role in the etiology and maintenance of anxiety, there is relatively little evidence regarding individual differences in the earliest development of attention bias toward threat. The current study examines attention bias toward threat during its potential first emergence by evaluating the relations between attention bias and known risk factors of anxiety (i.e., temperamental negative affect and maternal anxiety). We measured attention bias to emotional faces in infants (N = 98; 57 male) ages 4 to 24 months during an attention disengagement eye-tracking paradigm. We hypothesized that (a) there would be an attentional bias toward threat in the full sample of infants, replicating previous studies; (b) attentional bias toward threat would be positively related to maternal anxiety; and (c) attention bias toward threat would be positively related to temperamental negative affect. Finally, (d) we explored the potential interaction between temperament and maternal anxiety in predicting attention bias toward threat. We found that attention bias to the affective faces did not change with age, and that bias was not related to temperament. However, attention bias to threat, but not attention bias to happy faces, was positively related to maternal anxiety, such that higher maternal anxiety predicted a larger attention bias for all infants. These findings provide support for attention bias as a putative early mechanism by which early markers of risk are associated with socioemotional development. (PsycINFO Database Record","{'The current study examines attention bias toward threat during its potential first emergence by evaluating the relations between attention bias and known risk factors of anxiety (i.e., temperamental negative affect and maternal anxiety).'}"
"27055095","State anxiety carried over from prior threat increases late positive potential amplitude during an instructed emotion regulation task.","Emotion regulation has important consequences for emotional and mental health (Saxena, Dubey & Pandey, 2011) and is dependent on executive function (Eisenberg, Smith & Spinrad, 2011). Because state anxiety disrupts executive function (Robinson, Vytal, Cornwell & Grillon, 2013), we tested whether state anxiety disrupts emotion regulation by having participants complete an instructed emotion regulation task, while under threat of unpredictable shock and while safe from shock. We used the late positive potential (LPP) component of the event related potential to measure emotion regulation success. We predicted that LPP responses to negatively valenced images would be modulated by participants' attempts to increase and decrease their emotions when safe from shock, but not while under threat of shock. Our manipulation check revealed an order effect such that for participants who completed the threat of shock condition first self-reported state anxiety carried over into the subsequent safe condition. Additionally, we found that although instructions to regulate affected participants' ratings of how unpleasant the images made them feel, instructions to regulate had no effect on LPP amplitude regardless of threat condition. Instead we found that participants who received the threat condition prior to safe had greater LPP responses to all images in the safe condition. We posit that the carryover of anxiety resulted in misattribution of arousal and potentiation of neural responses to the images in the safe condition. Thus, our results imply that physiological arousal and cognition combine to influence the basic neural response to emotional stimuli. (PsycINFO Database Record","{'Because state anxiety disrupts executive function (Robinson, Vytal, Cornwell & Grillon, 2013), we tested whether state anxiety disrupts emotion regulation by having participants complete an instructed emotion regulation task, while under threat of unpredictable shock and while safe from shock.'}"
"27375030","Changes in threat-related cognitions and experiential avoidance in group-based transdiagnostic CBT for anxiety disorders.","Group-based Transdiagnostic Cognitive Behavioral Therapy (TCBT) for anxiety disorders aims to target common factors to produce beneficial effects on multiple anxiety disorders at once. While there is growing evidence that various anxiety disorders can be effectively treated by this approach, the common factors contributing to these treatment effects are not well delineated. In a sample of 48 Veterans who completed Group-based TCBT, the current study examined change in threat perception and change in experiential avoidance pre to post-treatment and as potential mediators of changes in negative affect and personalized fear ratings. Results indicated that both threat perception and experiential avoidance were significantly reduced during treatment. Additionally, reductions in both threat perception and experiential avoidance significantly predicted reductions in negative affect and fear ratings. When change in threat perception and change in experiential avoidance were examined simultaneously, both remained significant predictors of changes in negative affect though only experiential avoidance predicted changes in fear ratings. Thus, both reductions in threat perception and experiential avoidance may mediate the broad treatment effects observed in group-based TCBT. Directions for future research are discussed.","{'Results indicated that both threat perception and experiential avoidance were significantly reduced during treatment.', 'While there is growing evidence that various anxiety disorders can be effectively treated by this approach, the common factors contributing to these treatment effects are not well delineated.', 'Thus, both reductions in threat perception and experiential avoidance may mediate the broad treatment effects observed in group-based TCBT.'}"
"27395806","An integrative network approach to social anxiety disorder: The complex dynamic interplay among attentional bias for threat, attentional control, and symptoms.","Cognitive models posit that social anxiety disorder (SAD) is associated with and maintained by biased attention allocation vis-a-vis social threat. However, over the last decade, there has been intense debate regarding whether AB in SAD results from preferential engagement with or difficulty in disengaging from social threat. Further, recent evidence suggests that AB may merely result from top-down attentional impairments vis-a-vis non-emotional material. Consequently, uncertainty still abounds regarding both the relative importance and the mutual interactions of these different processes and SAD symptoms. Inspired by novel network approaches to psychopathology that conceptualize symptoms as complex dynamic systems of mutually interacting variables, we computed weighted directed networks to investigate potential causal relations among laboratory measures of attentional components and symptoms of social anxiety disorder. Global and local connectivity of network structures revealed that the three most central variables were the orienting component of attention as well as both avoidance and fear of social situations. Neither preferential attention engagement with threat nor difficulty disengaging from threat exhibited high relative importance as predictors of symptoms in the network. Together, these findings suggest the value of extending the network approach beyond self-reported clinical symptoms to incorporate process-level measures from laboratory tasks to gain new insight into the mechanisms of SAD.","{'Together, these findings suggest the value of extending the network approach beyond self-reported clinical symptoms to incorporate process-level measures from laboratory tasks to gain new insight into the mechanisms of SAD.', 'Cognitive models posit that social anxiety disorder (SAD) is associated with and maintained by biased attention allocation vis-a-vis social threat.', 'Inspired by novel network approaches to psychopathology that conceptualize symptoms as complex dynamic systems of mutually interacting variables, we computed weighted directed networks to investigate potential causal relations among laboratory measures of attentional components and symptoms of social anxiety disorder.'}"
"24286750","Exploring the function of selective attention and hypervigilance for threat in anxiety.","Theoretical frameworks of anxiety propose that attentional biases to threat-related stimuli cause or maintain anxious states. The current paper draws on theoretical frameworks and key empirical studies to outline the distinctive attentional processes highlighted as being important in understanding anxiety. We develop a conceptual framework to make a distinction between two attentional biases: selective attention to threat and hypervigilance for threat. We suggest that these biases each have a different purpose and can account for the typical patterns of facilitated and impaired attention evident in anxious individuals. The framework is novel in its specification of the eye movement behavior associated with these attentional biases. We highlight that selective attention involves narrowing overt attention onto threat to ensure that these stimuli receive processing priority, leading to rapid engagement with task-relevant threat and delayed disengagement from task-irrelevant threat. We show that hypervigilance operates in the presence and absence of threat and involves monitoring for potential dangers via attentional broadening or excessive scanning of the environment with numerous eye movements, leading to improved threat detection and increased distraction from task-irrelevant threat. We conclude that future research could usefully employ eye movement measures to more clearly understand the diverse roles of attention in anxiety.","{'We develop a conceptual framework to make a distinction between two attentional biases: selective attention to threat and hypervigilance for threat.', 'Theoretical frameworks of anxiety propose that attentional biases to threat-related stimuli cause or maintain anxious states.', 'The current paper draws on theoretical frameworks and key empirical studies to outline the distinctive attentional processes highlighted as being important in understanding anxiety.'}"
"25969398","Discovering networks altered by potential threat (""anxiety"") using quadratic discriminant analysis.","Researchers have only recently begun using functional neuroimaging to explore the human response to periods of sustained anxious anticipation, namely potential threat. Here, we investigated brain responses acquired with functional MRI during an instructed threat of shock paradigm used to create sustained periods of aversive anticipation. In this re-analysis of previously published data, we employed quadratic discriminant analysis to classify the multivariate pattern of whole-brain functional connectivity and to identify connectivity changes during periods of potential threat. Our method identifies clusters with altered connectivity on a voxelwise basis, thus eschewing the need to define regions a priori. Classifier generalization was evaluated by testing on data from participants not used during training. Robust classification between threat and safe contexts was possible, and inspection of ""diagnostic features"" revealed altered functional connectivity involving the intraparietal sulcus, task-negative regions, striatum, and anterior cingulate cortex. We anticipate that the proposed method will prove useful to experimenters wishing to identify large-scale functional networks that distinguish between experimental conditions or groups.","{'Here, we investigated brain responses acquired with functional MRI during an instructed threat of shock paradigm used to create sustained periods of aversive anticipation.', 'In this re-analysis of previously published data, we employed quadratic discriminant analysis to classify the multivariate pattern of whole-brain functional connectivity and to identify connectivity changes during periods of potential threat.'}"
"26773206","Dispositional Anxiety and Frontal-Midline Theta: On the Modulatory Influence of Sex and Situational Threat.","In their adaptive control hypothesis, Cavanagh and Shackman (2015) recently claimed that dispositional anxiety is correlated with frontal-midline theta (FMtheta) as a generic ""need for control"" signal of the anterior midcingulate cortex. Here, we tested this assumption, also considering potential modulatory influences of anticipatory threat and individuals' sex. In a nonclinical sample of 168 participants (84 women), electroencephalogram was recorded while individuals performed a simple two-choice task. Half of the participants were assigned to a threat anticipation condition (anticipation of public speaking), whereas the other half was assigned to a control condition. State anxiety was monitored across the experiment. Dispositional anxiety was assessed by self-report scales, which were completed before individuals came to the laboratory. Target stimuli in the two-choice task induced a transient increase in FMtheta power that was subject to an interaction of dispositional anxiety, sex, and experimental group. Only in women who anticipated public speaking did we observe a substantial positive relation between dispositional anxiety and general FMtheta power. Our results indicate that the link between dispositional anxiety and FMtheta is not universal but rather depends on complex interactions of individuals' sex and situational threat.","{'Half of the participants were assigned to a threat anticipation condition (anticipation of public speaking), whereas the other half was assigned to a control condition.', 'Dispositional anxiety was assessed by self-report scales, which were completed before individuals came to the laboratory.', ""Here, we tested this assumption, also considering potential modulatory influences of anticipatory threat and individuals' sex.""}"
"26005838","Anxiety sensitivity and the anticipation of predictable and unpredictable threat: Evidence from the startle response and event-related potentials.","There is growing evidence that heightened sensitivity to unpredictable threat is a core mechanism of dysfunction in anxiety disorders. However, it is unclear whether anxiety sensitivity is also associated with sensitivity to unpredictable threat. In the present study, 131 participants completed the Anxiety Sensitivity Index-3, which includes physical concerns (PC), social concerns (SC), and cognitive concerns (CC) subscales, and a predictable vs. unpredictable threat-of-shock task. Startle eyeblink and ERP responses (N100, P300) to the acoustic startle probes were measured during the task. PC and CC were associated with heightened and attenuated, respectively, startle for the unpredictable (but not predictable) condition. CC were also associated with attenuated probe N100 for the unpredictable condition only, and PC were associated with increased P300 suppression across the predictable and unpredictable conditions. This study provides novel evidence that the different anxiety sensitivity dimensions demonstrate unique relationships with the RDoC domains ""acute"" and ""potential"" threat.","{'However, it is unclear whether anxiety sensitivity is also associated with sensitivity to unpredictable threat.', 'This study provides novel evidence that the different anxiety sensitivity dimensions demonstrate unique relationships with the RDoC domains ""acute"" and ""potential"" threat.'}"
"23818424","H1N1 was not all that scary: uncertainty and stressor appraisals predict anxiety related to a coming viral threat.","H1N1 reached pandemic proportions in 2009, yet considerable ambivalence was apparent concerning the threat presented and the inclination to be vaccinated. The present investigation assessed several factors, notably appraisals of the threat, intolerance of uncertainty, and familiarity with the virus, that might contribute to reactions to a potential future viral threat. Canadian adults (N = 316) provided with several scenarios regarding viral threats reported moderate feelings of anxiety, irrespective of whether the viral threat was one that was familiar versus one that was entirely unfamiliar to them (H1N1 recurrence, H5N1, a fictitious virus: D3N4). Participants appraised the stressfulness of the threats to be moderate and believed that they would have control in this situation. However, among individuals with high intolerance of uncertainty, the viral threat was accompanied by high levels of anxiety, which was mediated by aspects of appraisals, particularly control and stressfulness. In addition, among those individuals that generally appraised ambiguous life events as being stressful, the viral threat appraisals were accompanied by still greater anxiety. Given the limited response to potential viral threats, these results raise concerns that the public may be hesitant to heed recommendations should another pandemic occur.","{'The present investigation assessed several factors, notably appraisals of the threat, intolerance of uncertainty, and familiarity with the virus, that might contribute to reactions to a potential future viral threat.', 'Canadian adults (N = 316) provided with several scenarios regarding viral threats reported moderate feelings of anxiety, irrespective of whether the viral threat was one that was familiar versus one that was entirely unfamiliar to them (H1N1 recurrence, H5N1, a fictitious virus: D3N4).', 'However, among individuals with high intolerance of uncertainty, the viral threat was accompanied by high levels of anxiety, which was mediated by aspects of appraisals, particularly control and stressfulness.'}"
